temperature,pack,preservative,sterilization,target
1.563953488,1.144927536,1.466167217,1.31633349,2
1.88,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.3,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.144927536,1.466167217,1.31633349,1
1.563953488,1.3,2.089366516,1.31633349,3
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,2.03420566,5
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,2.03420566,3
1.563953488,1.144927536,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.144927536,1.466167217,1.31633349,1
1.563953488,1.769736842,1.778641707,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.778641707,2.139421352,7
1.563953488,1.769736842,1.466167217,2.139421352,7
1.563953488,1.769736842,1.778641707,2.139421352,8
1.563953488,1.769736842,1.466167217,2.139421352,8
1.563953488,1.769736842,1.466167217,2.03420566,6
1.563953488,1.769736842,1.466167217,2.139421352,7
1.563953488,1.769736842,1.466167217,2.139421352,7
1.563953488,1.769736842,1.466167217,1.31633349,3
1.563953488,1.769736842,1.778641707,1.31633349,3
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,3
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.769736842,1.778641707,1.31633349,3
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.144927536,1.466167217,1.31633349,5
1.563953488,1.769736842,1.466167217,1.31633349,3
1.563953488,1.769736842,1.466167217,1.31633349,6
1.310810811,1.144927536,1.466167217,1.31633349,2
1.310810811,1.144927536,1.358879864,1.31633349,3
1.310810811,1.144927536,1.358879864,1.31633349,3
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,2.139421352,3
1.310810811,1.769736842,1.466167217,1.31633349,1
1.310810811,1.3,1.466167217,1.31633349,1
1.310810811,1.3,1,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.88,1.769736842,1.466167217,2.139421352,3
1.88,1.769736842,1.466167217,2.139421352,5
1.88,1.769736842,1.466167217,2.139421352,5
1.88,1.769736842,2.089366516,1.31633349,5
1.88,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,2.139421352,2
1.310810811,1.3,1.466167217,1.31633349,1
1.310810811,1.3,1.466167217,1.31633349,1
1.310810811,1.3,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,2
1.563953488,1.3,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,1
1.563953488,1.769736842,2.089366516,2.03420566,7
1.563953488,1.769736842,1.466167217,2.03420566,2
1.310810811,1.769736842,2.089366516,1.94832883,6
1.310810811,1.769736842,1.466167217,1.94832883,3
1.563953488,1.769736842,1.466167217,1.31633349,3
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.144927536,2.089366516,1.31633349,3
1.563953488,1.144927536,1.778641707,1.31633349,2
1.563953488,1.144927536,1.358879864,1.31633349,4
1.563953488,1.144927536,1.466167217,1.31633349,2
1.88,1.769736842,1.466167217,1.94832883,7
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,2.089366516,1.31633349,2
1.310810811,1.769736842,2.089366516,1.94832883,6
1.310810811,1.769736842,1.466167217,1.94832883,3
1.563953488,1.144927536,1.358879864,1.31633349,3
1.563953488,1.144927536,1.358879864,1.31633349,2
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,2.139421352,2
1.88,1.769736842,1.466167217,2.139421352,7
1.88,1.769736842,1.466167217,2.139421352,8
1.563953488,1.769736842,1.466167217,2.139421352,8
1.563953488,1.769736842,1.466167217,1.31633349,7
1.563953488,1.3,2.089366516,1.31633349,2
1.563953488,1.3,2.089366516,1.94832883,5
1.310810811,1.3,1.466167217,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,2.139421352,2
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,2.139421352,8
1.310810811,1.3,1,1.31633349,2
1.310810811,1.3,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,2
1.310810811,1.144927536,1.466167217,1.31633349,1
1.88,1.769736842,1.778641707,2.139421352,2
1.88,1.769736842,1.466167217,2.139421352,3
1.310810811,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.31633349,2
1.310810811,1.3,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,5
1.563953488,1.3,1.466167217,1.31633349,7
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.3,1.466167217,1.31633349,3
1.563953488,1.144927536,1.466167217,1.31633349,1
1.563953488,1.3,1.466167217,1.31633349,1
1.310810811,1.3,1.466167217,1.31633349,1
1.310810811,1.3,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,2.03420566,2
1.563953488,1.769736842,1.466167217,2.139421352,2
1.563953488,1.769736842,1.466167217,2.139421352,2
1.563953488,1.769736842,1.778641707,2.03420566,6
1.563953488,1.769736842,1.778641707,2.139421352,8
1.563953488,1.769736842,1.466167217,1.31633349,3
1.310810811,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.778641707,1.31633349,6
1.310810811,1.769736842,1.778641707,1.31633349,5
1.563953488,1.144927536,1.466167217,1.31633349,3
1.563953488,1.144927536,1.466167217,2.139421352,3
1.563953488,1.769736842,1.466167217,1.31633349,6
1.563953488,1.144927536,1.778641707,1.31633349,3
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.144927536,1.778641707,1.31633349,2
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.144927536,1.466167217,1.31633349,1
1.88,1.769736842,1.466167217,2.03420566,6
1.310810811,1.769736842,1.466167217,2.03420566,8
1.563953488,1.769736842,1.466167217,2.03420566,8
1.563953488,1.769736842,1.778641707,1.31633349,4
1.563953488,1.769736842,1.466167217,1.31633349,3
1.563953488,1.769736842,1.466167217,1.31633349,7
1.563953488,1.769736842,1.466167217,1.31633349,7
1.563953488,1.769736842,1.466167217,1.31633349,2
1.563953488,1.769736842,1.466167217,2.03420566,7
1.563953488,1.144927536,1.466167217,1.31633349,2
1.563953488,1.144927536,1.358879864,1.31633349,5
1.563953488,1.144927536,1.358879864,1.31633349,6
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,4
1.563953488,1.144927536,1.778641707,1.31633349,6
1.563953488,1.144927536,1.778641707,1.31633349,6
1.563953488,1.144927536,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.778641707,1.31633349,4
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.144927536,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,4
1.563953488,1.144927536,1.466167217,1.31633349,3
1.310810811,1.769736842,1.466167217,1.31633349,2
1.310810811,1.144927536,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,2.03420566,6
1.310810811,1.769736842,1.466167217,1.94832883,6
1.310810811,1.769736842,1.466167217,1.31633349,3
1.310810811,1.769736842,2.089366516,1.94832883,7
1.563953488,1.769736842,2.089366516,1.94832883,8
1.88,1.769736842,1.466167217,2.139421352,6
1.310810811,1.769736842,1.466167217,2.03420566,4
1.310810811,1.769736842,1.466167217,1.94832883,3
1.310810811,1.769736842,1.466167217,1.31633349,2
1.310810811,1.144927536,1.466167217,1.31633349,1
1.310810811,1.769736842,1.778641707,2.03420566,7
1.310810811,1.769736842,1.466167217,1.31633349,3
1.563953488,1.144927536,1.358879864,1.31633349,2
1.563953488,1.144927536,1.466167217,1.31633349,1
1.563953488,1.769736842,2.089366516,1.31633349,8
1.563953488,1.769736842,1.466167217,1.31633349,7
1.88,1.769736842,2.089366516,1.94832883,8
1.88,1.769736842,1.358879864,1.94832883,1
1.88,1.769736842,1.778641707,1.94832883,1
1.88,1.769736842,1.466167217,1.94832883,1
1.310810811,1.769736842,1.466167217,2.139421352,2
1.563953488,1.769736842,1.466167217,2.139421352,6
1.310810811,1.769736842,1.778641707,1.31633349,4
1.310810811,1.769736842,1.466167217,1.31633349,2
1.310810811,1.769736842,1.466167217,2.03420566,4
1.310810811,1.769736842,1.466167217,1.94832883,3
1.310810811,1.769736842,1.778641707,2.03420566,7
1.310810811,1.769736842,1.778641707,1.31633349,5
1.310810811,1.769736842,1.466167217,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.769736842,1.466167217,1.31633349,6
1.563953488,1.769736842,1.466167217,1.31633349,6
1.310810811,1.144927536,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,6
1.563953488,1.144927536,1.466167217,1.31633349,6
1.310810811,1.769736842,1.778641707,2.03420566,2
1.310810811,1.769736842,1.466167217,2.03420566,1
1.310810811,1.769736842,1.466167217,1.31633349,1
1.310810811,1.769736842,1.778641707,1.31633349,2
1.310810811,1.769736842,1.466167217,1.31633349,1
1.563953488,1.144927536,1.466167217,1.31633349,1
1.310810811,1.769736842,1.466167217,1.94832883,3
1.310810811,1.769736842,1.778641707,1.94832883,4
1.310810811,1.769736842,1.466167217,1.31633349,2
